title,year,hint_1,hint_2,hint_3,hint_4
42,2013,"A  biopic about a man whose number is now retired across every team in his sport, which is the closest thing American professional athletics has to canonization.","A Brooklyn second baseman walks onto a field in 1947 and the entire moral weight of a country lands on his shoulders, while the opposing dugout yells things you can't print.","You've seen this. A number on a back. A general manager played by a man who once flew the Millennium Falcon. A game that pretended it was about baseball.","The number is the title. The number is also Jackie Robinson's jersey. You're welcome."
61*,2001,"A 2001 cable movie directed by a man more famous for hosting a late-night talk show, which is a sentence that requires its own footnote — hence the asterisk.","Two Yankees chase a ghost in pinstripes through a single summer, and the press decides one of them is allowed to win and the other isn't.","Either you haven't seen this, or you have and that's somehow worse. The title is a number followed by a punctuation mark. The punctuation mark is the entire point of the movie.","Maris hits the home run. The asterisk hits Maris. Billy Crystal directed this, and yes that's also a sentence."
80 for Brady,2023,"A comedy that exists because someone looked at four legendary actresses with a combined 300 years of screen credits and thought, ""What they really need is a quarterback subplot.""","A road trip movie where the destination is Houston, the year is 2017, and the emotional climax depends on you remembering the Falcons blowing a 28-3 lead.","At this point I have to ask — does the phrase ""Super Bowl LI"" mean anything to you, because the title is a number, a preposition, and the last name of the quarterback who won it.","Four octogenarian best friends, one football pilgrimage, and a tagline that's basically the plot. The number is 80. The man is Tom."
Above the Rim,1994,"A 1990's streetball drama whose soundtrack outsold the film by a margin that should embarrass the film, except the film is also pretty good.","A high school phenom gets pulled between a drug dealer with a tournament team and a broken-down ex-player working security, which is less a plot than a series of warnings.","The fact that you're still guessing tells me something about you. A New York playground, Tupac in a leather jacket looking menacing, and a soundtrack that included ""Regulate."" Catch up.","The title is a basketball phrase. Two words. The first word means ""over."" The second word is what the ball goes through."
Air,2023,"A 2023 prestige drama about a shoe deal, which sounds like the most boring pitch in history until you remember the shoe in question rewrote capitalism.","The basketball player at the center of the story barely appears on screen, which is a bold creative choice given that he is arguably the most famous human being of the twentieth century.","I want you to think carefully about what you actually know. A scrappy Oregon sportswear company in 1984 bets its entire basketball division on one rookie, and the meeting that closes the deal involves a mother who is smarter than every executive in the room.","Ben Affleck directs Matt Damon eating fast food and talking on landlines for two hours. The title is what comes before ""Jordan."""
Airborne,1993,"A movie that tried to convince American teenagers that rollerblading was a personality, and briefly succeeded.","A California surfer gets shipped to Cincinnati and solves his social problems via an extended downhill skating sequence that has to be seen to be disbelieved.","Let me be direct with you. Seth Green is in this, with hair. The climax is a race on wheels through the streets of Ohio. The title is a word that means ""in the air.""","One word. It means flying. It's also what these kids do on rollerblades for ninety minutes."
Ali,2001,"A 2001 biopic of a man whose actual life was so cinematic that any film about him is automatically working at a disadvantage.","A heavyweight champion refuses the draft, loses his title in a courtroom instead of a ring, and comes back years later to fight in Zaire at four in the morning local time.","You know this one. The Fresh Prince put on forty pounds of muscle, got nominated for an Oscar, and the title of the film is three letters long.","He floated. He stung. He was the Greatest. Three letters. Last name only."
All the Right Moves,1983,"A drama set in a dying Pennsylvania steel town, where the only way out is a football scholarship or a casket — and the movie treats both with equal seriousness.","A young heartthrob, three years before he flew jets and yelled about volleyball, played a high school cornerback whose entire future depends on not pissing off his coach. He pisses off his coach.","Here's what I know about you right now — you're picturing a teenager in shoulder pads, a girlfriend named Lisa, a furious coach played by the dad from Coach, and a title that is basically the plot summarized as a sports cliché.","Recruiters, rust belt, and Tom Cruise before he was Tom Cruise. The title is four words about making the correct decisions."
American Anthem,1986,"A 1986 film that cast an actual Olympic gymnast as the lead, on the theory that acting is something you can pick up between routines.","A retired gymnast finds his way back to the rings via a montage, a love interest, and a soundtrack that aggressively wants to be on MTV.","This is the part where I stop being polite about it. The lead actor won a gold medal in Los Angeles in 1984 and never made another movie that mattered. The title has two words. The first is a country.","Mitch Gaylord. Pommel horse. A power ballad. The title is patriotic and musical."
American Underdog,2021,"A 2021 faith-based biopic about a quarterback whose actual career arc is so unlikely that the film had to tone it down to seem plausible.","A grocery store stockboy becomes a Super Bowl MVP via Arena Football, an undrafted free agent contract, and the single luckiest injury in St. Louis Rams history.","I'm going to need you to search your memory more aggressively. Kurt Warner. The Greatest Show on Turf. A title that is two words, the first of which is a nationality and the second of which is a long shot.","Shazam plays Kurt Warner. The title describes Kurt Warner. We're basically done."
Angels in the Outfield,1994,"A family film built on the premise that divine intervention is real, baseball is sacred, and the California pitching staff needs all the help it can get.","A foster kid prays for a last-place team to win the pennant, and the heavens respond by sending celestial beings to physically lift outfielders into the air. The league office does not appear to investigate.","Consider what you're admitting by not having gotten this yet. A team. A diamond. Winged interventions in the deep grass.","Christopher Lloyd shows up with wings, Tony Danza pitches his heart out, and the whole stadium ends up flapping their arms. Ya gotta believe."
Any Given Sunday,1999,"A late-90s film from a director who never met a camera angle he didn't want to cut to forty-three times in twelve seconds.","A locker room speech about inches that has been quoted at every corporate retreat for twenty-five years, delivered by a man whose voice could strip paint.","Take a breath. Think about what decade you're in. Football, a coach screaming about the inches in front of his face, and a quarterback played by the guy from Jerry Maguire's rival agency days.","Oliver Stone. Pacino. ""On this team we fight for that inch."" You can name a day of the week, can't you?"
Balls of Fury,2007,"A mid-2000s comedy that asked the burning question no one had asked: what if Enter the Dragon, but ping pong.","The villain is played by an actor who reads every line like he's just been woken up from a strange dream, and somehow this is the correct choice.","Between you and me, this is embarrassing. The sport is table tennis. The tone is parody. The lead is a chubby former child prodigy seeking revenge.","Christopher Walken in silk robes hosting an underground paddle tournament. The title is an anatomical pun. Swing away."
Bang the Drum Slowly,1973,"An early seventies baseball movie that's barely about baseball, made back when a young actor with a twitchy face could carry a film by mumbling through a Southern accent and breaking your heart anyway.","The star pitcher spends the season covering for his dim, dying catcher, which is the kind of friendship that only exists in movies and possibly in dugouts in 1973.","Whatever you're doing isn't working — think locker rooms, tobacco juice, a card game called TEGWAR, and a terminal diagnosis nobody on the team is supposed to know about.","The title is a lyric from an old folk song about a dying cowboy. The first word is what you do to a drum. The last word is the opposite of fast."
Battle of the Sexes,2017,"A 2017 film about a tennis match that was less about tennis and more about a country deciding which century it wanted to live in.","A washed-up hustler in oversized glasses challenges the best female player in the world to a televised exhibition, and somehow this was considered serious cultural discourse.","I want to give you the benefit of the doubt here, but — it's 1973, the Houston Astrodome, a tennis court, and a man who showed up in a rickshaw pulled by women.","She won. He lost. The title is exactly what the matchup was billed as on every television in America."
Bend It Like Beckham,2002,"An early-2000s British film built around a soccer star so famous you didn't need to explain the title to anyone on Earth.","A teenager from a strict Punjabi family in West London sneaks off to play football and develops a crush on her coach, while her sister plans a wedding loud enough to be heard from space.","We've been at this long enough. The verb is in the title. The athlete is in the title. He used to play for Manchester United and married a Spice Girl.","Aloo gobi. A free kick that curves around a wall. The title is a direct instruction involving a famous No. 7."
