title,year,genre,cast_hint,director,plot_hint,tagline_text
10,1979,"Comedy, Romance","Dudley Moore, Julie Andrews, Bo Derek",,A Hollywood songwriter goes through a mid-life crisis and becomes infatuated with a sexy blonde newlywed.,A temptingly tasteful comedy for adults who can count.
10 Things I Hate About You,1999,"Comedy, Romance, Drama","Heath Ledger, Julia Stiles, Joseph Gordon-Levitt",,"On the first day at his new school, Cameron instantly falls for Bianca, the gorgeous girl of his dreams. The only problem is that Bianca is forbidden to date until her ill-tempered, completely un-dateable older sister Kat goes out, too. In an attempt to solve his problem, Cameron singles out the only guy who could possibly be a match for Kat: a mysterious bad boy with a nasty reputation of his own.",How do I loathe thee? Let me count the ways.
101 Dalmatians,1996,"Family, Comedy","Glenn Close, Jeff Daniels, Joely Richardson",,"An evil, high-fashion designer plots to steal Dalmatian puppies in order to make an extravagant fur coat, but instead creates an extravagant mess.",So many dogs. So little time.
12 Years a Slave,2013,"Drama, History","Chiwetel Ejiofor, Michael Fassbender, Lupita Nyong'o",,"In the pre-Civil War United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery. Facing cruelty as well as unexpected kindnesses Solomon struggles not only to stay alive, but to retain his dignity. In the twelfth year of his unforgettable odyssey, Solomon’s chance meeting with a Canadian abolitionist will forever alter his life.",The extraordinary true story of Solomon Northup.
127 Hours,2010,"Adventure, Drama, Thriller","James Franco, Kate Mara, Amber Tamblyn",,The true story of mountain climber Aron Ralston's remarkable adventure to save himself after a fallen boulder crashes on his arm and traps him in an isolated canyon in Utah.,Every second counts.
1917,2019,"War, History, Drama","George MacKay, Dean-Charles Chapman, Mark Strong",,"At the height of the First World War, two young British soldiers must cross enemy territory and deliver a message that will stop a deadly attack on hundreds of soldiers.",Time is the enemy.
2 Fast 2 Furious,2003,"Action, Crime, Thriller","Paul Walker, Tyrese Gibson, Eva Mendes",,"It's a major double-cross when former police officer Brian O'Conner teams up with his ex-con buddy Roman Pearce to transport a shipment of ""dirty"" money for shady Miami-based import-export dealer Carter Verone. But the guys are actually working with undercover agent Monica Fuentes to bring Verone down.",How fast do you like it?
3 Men and a Baby,1987,Comedy,"Tom Selleck, Steve Guttenberg, Ted Danson",,Three bachelors find themselves forced to take care of a baby left by one of the guy's girlfriends.,They changed her diapers. She changed their lives.
300,2007,"Action, Adventure, War","Gerard Butler, Lena Headey, Dominic West",,"A story very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians.",Prepare for glory!
A Beautiful Mind,2001,"Drama, Romance","Russell Crowe, Jennifer Connelly, Ed Harris",,"From the heights of notoriety to the depths of depravity, John Forbes Nash Jr. experiences it all. As a brilliant but socially awkward mathematician, he made a groundbreaking discovery early in his career and stands on the brink of international acclaim. But as the handsome and arrogant Nash accepts secret work in cryptography, he becomes entangled in a mysterious conspiracy. His life takes a nightmarish turn and he soon finds himself on a painful and harrowing journey of self-discovery.",He saw the world in a way no one could have imagined.
A Bridge Too Far,1977,"Drama, History, War","Dirk Bogarde, James Caan, Michael Caine",,The story of Operation Market Garden—a failed attempt by the allies in the latter stages of WWII to end the war quickly by securing three bridges in Holland allowing access over the Rhine into Germany. A combination of poor allied intelligence and the presence of two crack German panzer divisions meant that the final part of this operation (the bridge in Arnhem over the Rhine) was doomed to failure.,Out of the sky comes the screen's most incredible spectacle of men and war!
A Bug's Life,1998,"Adventure, Animation, Comedy","Dave Foley, Kevin Spacey, Julia Louis-Dreyfus",,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",An epic of miniature proportions.
A Complete Unknown,2024,"Drama, Music","Timothée Chalamet, Edward Norton, Elle Fanning",,"New York, early 1960s. Against the backdrop of a vibrant music scene and tumultuous cultural upheaval, an enigmatic 19-year-old from Minnesota arrives in the West Village with his guitar and revolutionary talent, destined to change the course of American music.",The ballad of a true original.
A Few Good Men,1992,Drama,"Tom Cruise, Jack Nicholson, Demi Moore",,"When cocky military lawyer Lt. Daniel Kaffee and his co-counsel, Lt. Cmdr. JoAnne Galloway, are assigned to a murder case, they uncover a hazing ritual that could implicate high-ranking officials such as shady Col. Nathan Jessep.","In the heart of the nation's capital, in a courthouse of the U.S. government, one man will stop at nothing to keep his honor, and one will stop at nothing to find the truth."
A Fish Called Wanda,1988,"Comedy, Crime","Jamie Lee Curtis, John Cleese, Kevin Kline",,"While a diamond advocate attempts to steal a collection of diamonds, troubles arise when he realises he’s not the only one after the collection.","A tale of murder, lust, greed, revenge, and seafood."
A League of Their Own,1992,"Comedy, Drama","Tom Hanks, Geena Davis, Lori Petty",,"As America's stock of athletic young men is depleted during World War II, a professional all-female baseball league springs up in the Midwest, funded by publicity-hungry candy maker Walter Harvey. Competitive sisters Dottie Hinson and Kit Keller spar with each other, scout Ernie Capadino and grumpy has-been coach Jimmy Dugan on their way to fame.",Once in a lifetime you get a chance to do something different.
A Minecraft Movie,2025,"Family, Fantasy, Comedy","Jason Momoa, Jack Black, Sebastian Eugene Hansen",,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",Be there and be square.
A Passage to India,1984,"Drama, Adventure, History","Judy Davis, Victor Banerjee, Peggy Ashcroft",,"Cultural mistrust and false accusations doom a friendship in British colonial India between an Indian doctor, an Englishwoman engaged to marry a city magistrate, and an English educator.","David Lean, the Director of ""Doctor Zhivago"", ""Lawrence of Arabia"" and ""The Bridge on the River Kwai"", invites you on . ."
