title,year,hint_1,hint_2,hint_3,hint_4
"A Man for All Seasons",1966,"A 1966 Best Picture winner about a man whose entire dramatic arc is refusing to say a sentence out loud — which, on paper, sounds like the worst pitch meeting in history and somehow became one of the most riveting films of the decade.","The protagonist is a lawyer and devout Catholic being slowly squeezed by a king who wants a divorce, an annulment, a new wife, and a new church — in roughly that order, and ideally by Tuesday.","You've seen this. Henry VIII, a chopping block, and a man so principled he'd rather lose his head than sign his name.","Sir Thomas More keeps his silence, his conscience, and almost — almost — his head. The title describes him in five words."
"All About Eve",1950,"A 1950 backstage drama that understood ambition is just admiration with the safety off, and walked away with six Oscars for the trouble.","A wide-eyed superfan talks her way into a Broadway legend's dressing room and, over the course of two hours, calmly reorganizes the woman's entire life into her own.","Either you haven't seen this, or you have and that's somehow worse — buckle up for a bumpy night.","The understudy's name is in the title. The diva is Margo. Bette Davis is staring at you from across a martini glass, waiting."
"All Quiet on the Western Front",1930,"A 1930 anti-war film so unflinching the Nazis later banned it, which is generally a reliable sign a movie is doing something right.","German schoolboys are talked into enlisting by a teacher who treats patriotism like a sales pitch, and then discover trench warfare is less glorious and more mud-and-screaming.","At this point I have to ask — does a boy reaching for a butterfly in the final frame ring any bells?","The dispatch from the trenches that gives the film its name says everything is calm on one specific battle line. The movie spends two hours proving that's a lie."
"All the King's Men",1949,"A 1949 Best Picture winner about American populism that has aged with the unsettling vitality of a fungus.","A Southern country lawyer discovers that the secret to political power is realizing the voters would rather be entertained than governed, a lesson that has stayed depressingly evergreen.","The fact that you're still guessing tells me something about you — the protagonist is loosely based on Huey Long, the Louisiana governor who got himself shot in a capitol building.","Willie Stark. A nursery rhyme about a great fall and the horses and men who couldn't put him back together — the title borrows the second half of that line."
"An American in Paris",1951,"A 1951 MGM musical that ends with a seventeen-minute ballet sequence, because in 1951 you could just do that and nobody complained.","A struggling painter, a Parisian shopgirl, a wealthy patron with very specific intentions, and Gershwin doing the emotional heavy lifting throughout.","I want you to think carefully about what you actually know. The title is essentially a customs declaration — nationality, location.","Gene Kelly dances across the Seine, an entire ballet plays out inside a painting, and the title tells you exactly who he is and where he is."
"Around the World in 80 Days",1956,"A 1956 epic that treated globe-trotting as a leisure activity rather than a logistical nightmare involving visas, layovers, and removing your shoes.","A fastidious Englishman bets his entire fortune that he can circumnavigate the planet using hot air balloons, trains, elephants, and the sheer force of British punctuality.","Let me be direct with you. The title is the entire premise. Title equals plot. Plot equals title.","Phileas Fogg, his valet Passepartout, and a wager at the Reform Club. The destination is the starting point, and you have eighty days to figure this out."
"Ben-Hur",1959,"A 1959 epic so massive it required fifteen thousand extras, a man-made lake, and the construction of the largest film set ever built — for a movie based on a novel written by a Civil War general in his spare time.","The protagonist is sold into slavery, survives a shipwreck, adopts a Roman admiral, and competes in a chariot race that has been ruining every chariot race ever filmed since.","You know this one. The chariot race. The hyphen in the title. A Jewish prince and his Roman frenemy circling each other for four hours.","Charlton Heston. Chariots. A hyphenated title that's also the hero's name. We're done here."
"Casablanca",1943,"A 1942 film made during the actual war it depicts, by a studio that was making it up as they went and somehow stumbled into the most quoted screenplay in American history.","A nightclub owner with a past, a freedom fighter with a future, and a woman caught between them in a city full of Nazis, refugees, and one very corrupt police captain who eventually finds his moral compass.","Here's what I know about you right now — ""Of all the gin joints in all the towns in all the world,"" ""Here's looking at you, kid,"" ""Round up the usual suspects."" One of those has to land.","Rick. Ilsa. A piano player named Sam. The title is the city. The city is the title."
"Cavalcade",1933,"A 1933 Best Picture winner that almost nobody has seen, which is impressive considering it once won Best Picture.","Thirty years of British history compressed into one upper-middle-class family's emotional weather report, with the Titanic functioning as a particularly memorable plot device.","This is the part where I stop being polite about it. The title is a noun meaning a ceremonial procession — a parade of events, if you will. The film is literally that, but with more crying.","A Noël Coward play about the Boer War, Queen Victoria's death, the Titanic, and the Great War — all in a row, like a parade. The title means parade."
"Cimarron",1931,"A 1931 Best Picture winner and the only western to win that prize for nearly six decades, which tells you everything about how the Academy felt about cowboys.","An Oklahoma land rush, a restless frontiersman who keeps wandering off, and a wife who quietly becomes the actual main character while he's off chasing the horizon.","I'm going to need you to search your memory more aggressively. The title is a Spanish-derived word for ""wild"" or ""unruly"" — also a river, also a strip of land, also the name of the kid in the movie.","Yancey Cravat. Oklahoma. A newspaper, a land rush, and a title that means wild. Six letters. Starts with C."
