list_num,category,title,year,movie_id,source,list_title
1,"Boxing / Fighting","Rocky",1976,22ea7531-ed33-47cd-9db9-b6b2aa47acf1,pre_catalog,"Rocky"
2,"Boxing / Fighting","Rocky II",1979,46cfbcd8-d0c1-4e75-a502-ec01c64968ba,pre_catalog,"Rocky II"
3,"Boxing / Fighting","Rocky III",1982,5c131394-0248-45a4-a609-1e90c773a141,imported,"Rocky III"
4,"Boxing / Fighting","Rocky IV",1985,60df34d2-a80b-4552-9c5b-7be09121744c,pre_catalog,"Rocky IV"
5,"Boxing / Fighting","Rocky V",1990,55fceeb7-3085-433f-b960-ac9e52727a24,imported,"Rocky V"
6,"Boxing / Fighting","Rocky Balboa",2006,4e2bbafc-f855-4224-8ac4-b02417f89e8e,imported,"Rocky Balboa"
7,"Boxing / Fighting","Creed",2015,84fd4431-69cf-4e8e-b9f2-4c150b04a66c,imported,"Creed"
8,"Boxing / Fighting","Creed II",2018,e4b81c3a-5908-47ed-a11d-a8e0afd16dab,imported,"Creed II"
9,"Boxing / Fighting","Creed III",2023,9100c1be-14f0-4f92-ad4c-c5c7796b4a6b,imported,"Creed III"
10,"Boxing / Fighting","Raging Bull",1980,dffe644c-1154-4047-bbb1-46e8c7231d93,pre_catalog,"Raging Bull"
11,"Boxing / Fighting","The Fighter",2010,0ee7dd2a-7f58-4565-bc07-8ba38576e6fe,pre_catalog,"The Fighter"
12,"Boxing / Fighting","Million Dollar Baby",2004,7944cfe2-0522-4e6d-9bdc-5fb69048d013,pre_catalog,"Million Dollar Baby"
13,"Boxing / Fighting","Cinderella Man",2005,b44ffe58-03e7-496d-9fb5-777189f01f13,imported,"Cinderella Man"
14,"Boxing / Fighting","Ali",2001,edc2c842-ec9b-4e29-be1e-eb8f969b98e0,imported,"Ali"
15,"Boxing / Fighting","Southpaw",2015,445f12bc-8620-41b6-841e-047693f96b1f,imported,"Southpaw"
16,"Boxing / Fighting","Warrior",2011,adc2f32e-d87c-43d4-9d6f-eb4c5d1d0feb,imported,"Warrior"
17,"Boxing / Fighting","The Hurricane",1999,4af0f5f0-3db3-44d4-aeea-d0a08dd5cc0d,imported,"The Hurricane"
18,"Boxing / Fighting","Play It to the Bone",1999,f513d2b3-260e-4d8c-a0d3-0fbb5bff7026,imported,"Play It to the Bone"
19,"Boxing / Fighting","The Champ",1979,78296a5c-b889-493d-bc79-89a3c1b671f4,imported,"The Champ"
20,"Boxing / Fighting","Real Steel",2011,f7442a8a-f7f2-47b1-a686-fcc10a30d0b1,imported,"Real Steel"
21,"Boxing / Fighting","Nacho Libre",2006,528fe3a5-c574-4f6a-b20d-bd96b1d1375d,imported,"Nacho Libre"
22,"Boxing / Fighting","Vision Quest",1985,cdc087cf-2478-4cd0-8cae-bf9aa35301ad,imported,"Vision Quest"
23,"Boxing / Fighting","Over the Top",1987,e3d9ef7a-cc6b-4b51-b5c2-c707d3c9d877,pre_catalog,"Over the Top"
24,"Boxing / Fighting","No Holds Barred",1989,017cf57a-a7e2-4051-99cc-471dd0e6b34b,imported,"No Holds Barred"
25,"Boxing / Fighting","The Wrestler",2008,007ac641-48f0-48dd-bf31-0589fee90c0b,imported,"The Wrestler"
26,"Boxing / Fighting","The Iron Claw",2023,0b7df921-a72c-42a2-a379-e452527545f3,imported,"The Iron Claw"
27,"Boxing / Fighting","Foxcatcher",2014,444bad18-5a65-4fe5-aa1b-2d63ea6f6956,imported,"Foxcatcher"
28,"Boxing / Fighting","The Smashing Machine",2025,66c2aa60-8066-4289-aa43-ac5c7c48de1c,imported,"The Smashing Machine"
29,"Boxing / Fighting","The Karate Kid",1984,4dbbaeac-2459-4b47-a0e0-aa0a7085df40,pre_catalog,"The Karate Kid"
30,"Boxing / Fighting","The Karate Kid Part II",1986,f7058cbd-9acf-4de1-9050-9f8152761aea,pre_catalog,"The Karate Kid Part II"
31,"Boxing / Fighting","The Karate Kid Part III",1989,1a9197af-13c3-49ab-a416-5ca57bb7d681,imported,"The Karate Kid Part III"
32,"Boxing / Fighting","The Next Karate Kid",1994,b9161106-378a-4fc9-b664-a0f9e6461f11,imported,"The Next Karate Kid"
33,"Boxing / Fighting","The Karate Kid",2010,eb8063f8-c961-41dc-9c8d-e981c24bfbed,imported,"The Karate Kid — 2010"
34,"Boxing / Fighting","Bloodsport",1988,de764122-e50b-4665-97b0-f656e91da2b7,imported,"Bloodsport"
35,"Boxing / Fighting","Best of the Best",1989,c14da290-9d6c-41ca-9454-313704dc873f,imported,"Best of the Best"
36,"Boxing / Fighting","Never Back Down",2008,9ffebec9-bed3-4657-b3ee-ca9a984bf6d1,imported,"Never Back Down"
37,"Boxing / Fighting","Kickboxer",1989,ae4916bc-8e8c-4038-a384-884063c7f8b8,imported,"Kickboxer"
38,"Baseball","Field of Dreams",1989,aecaf115-045d-4d78-be2c-a7868554459d,pre_catalog,"Field of Dreams"
39,"Baseball","Bull Durham",1988,649c3237-b3cf-4371-b815-ce61b2a86ab0,imported,"Bull Durham"
40,"Baseball","The Natural",1984,2a829417-f60c-4a0b-a238-3612ab13b7ab,imported,"The Natural"
41,"Baseball","Major League",1989,9624f456-53cf-4a4b-b628-249f3ff5f78c,imported,"Major League"
42,"Baseball","Major League II",1994,ad658f62-3bb9-4579-88f7-04e68244da1d,imported,"Major League II"
43,"Baseball","A League of Their Own",1992,9b10765c-a1ea-4d5b-b391-736f722186d1,pre_catalog,"A League of Their Own"
44,"Baseball","Moneyball",2011,1d27fa20-e775-4372-ab7d-fafc7871ec36,pre_catalog,"Moneyball"
45,"Baseball","The Sandlot",1993,00ca54de-09c1-40f5-b3b6-5d567b14a77f,imported,"The Sandlot"
46,"Baseball","Rookie of the Year",1993,09c9c53a-dc8c-40b4-894d-196ca0bcabda,imported,"Rookie of the Year"
47,"Baseball","Angels in the Outfield",1994,be1d108e-279e-4eaa-8d4c-eab45965ea40,imported,"Angels in the Outfield"
48,"Baseball","The Rookie",2002,60b3c757-29e6-4145-960b-db3f7e498265,imported,"The Rookie"
49,"Baseball","42",2013,876ee238-9b57-4d46-8560-1c9baf909dd1,imported,"42"
51,"Baseball","For Love of the Game",1999,74b46301-754a-4244-9e52-f0b76cf5cab6,imported,"For Love of the Game"
52,"Baseball","Eight Men Out",1988,759f744e-d4b7-4a95-ae38-7b80d5461608,imported,"Eight Men Out"
53,"Baseball","The Bad News Bears",1976,4107dcd5-805f-43ae-9ae6-ed087a6eb5d8,pre_catalog,"The Bad News Bears"
