title,year,hint_1,hint_2,hint_3,hint_4
"10",1979,"A late-70s comedy that treated the male midlife crisis as a numerical rating system, which tells you everything about how that decade handled women.","The protagonist is a successful songwriter who spots a bride on her way to her wedding and decides his entire emotional architecture should be rearranged around her.","You've seen this — a man with binoculars, a beach in Mexico, cornrows on a blonde in slow motion, and Ravel's Boléro doing work no piece of classical music should be asked to do.","The title is the score he gives her. It's a single digit. It's the highest one on the scale."
"10 Things I Hate About You",1999,"A 1999 teen comedy that quietly committed the perfect crime — sneaking Shakespeare into a high school where everyone has frosted tips and a band t-shirt.","A Taming of the Shrew adaptation in which the shrew listens to riot grrrl music and the suitor sings Frankie Valli on a football field bleacher, which is somehow the most romantic thing anyone has ever done on film.","Either you haven't seen this, or you have and that's somehow worse — there is a poem read aloud at the end, and the number of grievances in that poem is the number in the title.","Heath Ledger doing the bleacher serenade with a marching band. The title is a number and four more words."
"101 Dalmatians",1996,"A 1996 live-action remake of an animated classic, made during the brief and confusing era when Disney decided every cartoon needed real dogs and a furrier as the villain.","The antagonist is a fashion designer whose entire personality is two-toned hair and wanting to wear puppies, which somehow remains the most coherent villain motivation of the decade.","At this point I have to ask — how many spotted dogs do you need me to put in the title before this clicks?","Cruella. Spots. The number is in the title and it's exactly how many puppies are involved."
"12 Years a Slave",2013,"A 2013 Best Picture winner directed by a British visual artist whose previous films were so unflinching that this one almost qualifies as his crowd-pleaser.","A free man from Saratoga is drugged at dinner, wakes up in chains, and spends the next chapter of his life trying to survive a system designed to erase him.","The fact that you're still guessing tells me something about you. The protagonist is named Solomon. He is a violinist. The number in the title is how long the ordeal lasts.","Based on an 1853 memoir by Solomon Northup. The title is the duration plus the condition. You can do the math."
"127 Hours",2010,"A 2010 film by the director of Trainspotting, who apparently looked at his career and thought, ""I should make a movie where a man saws off his own arm and people pay to watch it.""","A true story about a canyoneer who didn't tell anyone where he was going, which is the kind of detail your mother warned you about for exactly this reason.","I want you to think carefully about what you actually know. A boulder. An arm. A pocketknife. A number followed by a unit of time.","Aron Ralston. The title is how long he was stuck before the famous and very squishy decision."
"1917",2019,"A 2019 war film shot to look like one continuous take, which is either a stunning technical achievement or a film school dare that got out of hand.","Two soldiers are sent across no-man's-land to call off an attack, and the entire film unfolds in roughly real time, which is exhausting for them and frankly for me.","Let me be direct with you. The title is a four-digit year. The war is the first one. You can do this.","Sam Mendes directed it. The year is in the title. The year is the answer."
"2 Fast 2 Furious",2003,"A 2003 sequel made without its biggest star, set in Miami, and committed to a title so committed to the bit that the studio doubled every word it could.","An undercover operation involving neon cars, a drug lord, and the unspoken understanding that physics is a suggestion.","You know this one. The first film had Vin Diesel. This one doesn't. The title takes the original and just adds the number two to everything.","Paul Walker, Miami, and a franchise that would eventually drive a car through space. The title is a number, an adjective, the same number, and another adjective."
"3 Men and a Baby",1987,"A 1987 comedy that was the highest-grossing film of the year, which says everything you need to know about what America wanted from 1987.","Three bachelors in a Manhattan loft suddenly inherit an infant, and the entire comedic engine is watching grown men be defeated by a diaper.","Here's what I know about you right now — you can count to three, you understand the concept of a baby, and the title is doing ninety percent of the work for you.","Selleck's mustache. Guttenberg's grin. Danson's everything. The title is a number, three words, and includes the word ""baby."""
"300",2007,"A 2007 film that taught an entire generation of men that yelling and abdominal muscles count as a foreign policy.","A Spartan king kicks an emissary into a bottomless well, which is diplomatically aggressive even by ancient Greek standards.","This is the part where I stop being polite about it. The title is the number of Spartans. It's also the number of times ""THIS IS SPARTA"" has been quoted at a party you didn't want to be at.","Leonidas. A bottomless pit. Frank Miller graphic novel. The title is the number of soldiers and nothing else."
"A Beautiful Mind",2001,"A 2001 Best Picture winner about a mathematician whose biggest discovery in the film turns out to be that several of his closest friends weren't real.","A biopic loosely based on a Nobel laureate's life, in which equations appear on windows because that's how Hollywood signals genius without doing any actual math.","I'm going to need you to search your memory more aggressively. A Princeton mathematician. Schizophrenia. A pen ceremony. A title that is an adjective and a body part — well, a part of the head.","Russell Crowe scribbling on windows, Ron Howard directing, and John Nash quietly winning a Nobel Prize. The title is three words."
